image,brand,name,description,price,user
https://www.forever21.com/us/2001311824.html,Forever 21,Twill Wide-Leg Cargo Pants,"A pair of twill pants featuring contrasting topstitching, a high-rise waist, belt loops, zip fly and button-front closure, wide leg, coin pocket, and leg utility strap and cargo patch pockets.
Content + Care
- 100% cotton

- Hand wash cold

Size + Fit
- Model is 5'9"" and wearing a Small",24.49,vivian
https://codibook.net/item/9128545?viewMode=shopThumbnail,gifteabox,"Denim for all seasons, 3-length vintage Faded high waist wide pants","Country of Origin : China(OEM)
Material : 100% cotton
",25.68,megan
https://www.forever21.com/us/2001311729.html,Forever 21,Mid-Rise Wide-Leg Cargo Pants,"A pair of twill pants featuring a mid-rise waist, belt loops, zip fly and button-front closure, slanted front pockets, wide leg, leg cargo flap pockets with frayed trim, and back patch pockets.
Content + Care
- 100% cotton

- Machine wash cold

Size + Fit
- Model is 5'9"" and wearing a Small

- Inseam: 31.5""",24.49,vivian
https://codibook.net/item/9210572?viewMode=shopThumbnail\,binary01,Fine layered check blouse,"Country of Origin : China(OEM)
Material : Cotton 100%
",33.53,megan
https://codibook.net/item/8985302?viewMode=shopThumbnail,wonderwonder,Blena Heart Strap Button Lace Cropped Sleeveless Blouse,"Country of Origin : Korea/China(OEM)
Material : Cotton 100%
",24.57,megan
https://codibook.net/item/9323200?viewMode=shopThumbnail,binary01,Kikuni Frill Midi Skirt,"Country of Origin : Korea
Material : Cotton 100%
",36.02,megan
https://www.uniqlo.com/us/en/products/E465185-000/00?colorDisplayCode=02&sizeDisplayCode=003,Uniqlo,AIRism Cotton Oversized T-Shirt | Half-Sleeve,"- Sheer: Not Sheer
- Fit: Oversized
- Pockets: No Pockets

- The images shown may include colors that are not available.
- Clothing using recycled materials is part of our effort to support the reduction of waste and use of new materials. Ratios of recycled material vary by item. Please check “Materials” on the price tag or care label for details.

",19.9,matt
https://www.uniqlo.com/us/en/products/E422992-000/00?colorDisplayCode=75&sizeDisplayCode=003,Uniqlo,Crew Neck T-Shirt,"The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.

- Heavyweight 100% cotton jersey fabric.
- Durable dry touch, heavyweight jersey fabric gains character with every wash.
- Binding at the collar helps the neckline keep its shape.
- Relaxed, unisex cut.
- Neckline inspired by vintage military T-shirt designs.",14.9,matt
https://www.uniqlo.com/us/en/products/E471808-000/00?colorDisplayCode=19&sizeDisplayCode=003,Uniqlo,Sweat Oversized Pullover Hoodie,"- Sheer: Not Sheer
- Fit: Relaxed
- Pockets: With Pockets
",49.9,matt
https://www.uniqlo.com/us/en/products/E475296-000/00?colorDisplayCode=69&sizeDisplayCode=008,Uniqlo,3D Knit Sweater,"- Updated silhouette for a sleeker fit.
- Stylish 3D silhouette for unbeatable comfort.
- No seams* for a gentle feel. *The collar tag and quality care label have seams.",49.9,matt
https://www.uniqlo.com/us/en/products/E470542-000/00?colorDisplayCode=64&sizeDisplayCode=029,Uniqlo,Wide Straight Jeans,"- Fit: Loose
- Silhouette: Straight
- Pockets: With Pockets

- Due to the washing process, color differences may occur.
- The images shown may include colors that are not available.",49.9,matt
https://www.uniqlo.com/us/en/products/E475681-000/00?colorDisplayCode=08&sizeDisplayCode=003,Uniqlo,Zip-Up Blouson Jacket,"- Based on a design inspired by vintage workwear, but with a modern relaxed silhouette.
- The short length pairs well with voluminous bottoms.
- Unisex design.",59.9,matt
https://www.uniqlo.com/us/en/products/E453754-000/00?colorDisplayCode=69&sizeDisplayCode=003,Uniqlo,Washable Milano Ribbed Sweater,"- The images shown may include colors that are not available.
- Clothing using recycled materials is part of our effort to support the reduction of waste and use of new materials. Ratios of recycled material vary by item. Please check “Materials” on the price tag or care label for details.",49.9,matt
https://www.uniqlo.com/us/en/products/E463857-000/00?colorDisplayCode=57&sizeDisplayCode=004,Uniqlo,Linen Blend Relaxed Pants,"- Sheer: Not Sheer
- Fit: Regular
- Silhouette: Tapered
- Pockets: With Pockets",49.9,matt
https://www.uniqlo.com/us/en/products/E477649-000/00?colorDisplayCode=31&sizeDisplayCode=004,Uniqlo,Jersey Overshirt,"- Sheer: Not Sheer
- Fit: Relaxed
",39.9,matt
https://www.uniqlo.com/us/en/products/E477753-000/00?colorDisplayCode=01&sizeDisplayCode=004,Uniqlo,Ultra Stretch DRY-EX Shorts,"- Sheer: Not Sheer
- Fit: Regular
- Pockets: With Pockets",29.9,matt
https://www.forever21.com/us/2001309778.html?dwvar_2001309778_color=02&quantity=1,Forever 21,Buttoned Denim Shorts,"Crafted from stretch-denim, this pair of mid-rise shorts features an exposed button fly, belt loops, a five-pocket construction, frayed hem, and distressing.
Content + Care
- Shell: 69% cotton, 28% polyester, 2% spandex, 1% rayon

- Machine wash cold

Size + Fit
- Model is 5'9"" and wearing a size 3",4.5,vivian
https://www.aritzia.com/us/en/product/clara-merino-wool-sweater/121809.html?dwvar_121809_color=34735,Aritzia,clara merino wool sweater,"This is a fully fashioned polo sweater with an open neckline and dropped shoulders. It’s knit with Embrace Merino™ — extra-fine 100% merino wool yarn coveted for its natural warmth and super soft feel. We source ours from a premium Italian mill. This version features a yarn-dyed striped pattern that has been woven in, as opposed to printed on, for a more dimensional look. A Jersey stitch gives this sweater a soft drape and a smooth, flat feel. ",89.6,Laura
https://us.brandymelville.com/products/bonnie-44-top,Brandy Melville,"Bonnie 44 Top
","Cotton blend off the shoulder short sleeve crop top with raw hem and the 44 graphic printed on the front in white. 
Fabrics: 96% cotton, 4% elastane
Measurement: 21""(53 cm) length, 16""(41 cm)  bust
Made in: Italy

",18.0,megan
https://www.aritzia.com/us/en/product/maria-merino-wool-sweater/121814.html?dwvar_121814_color=34735,Aritzia,maria merino wool sweater,"This is a relaxed crewneck sweater with dropped shoulders and fully fashioned construction. It’s knit with Embrace Merino™ — extra-fine 100% merino wool yarn coveted for its natural warmth and super soft feel. We source ours from a premier Italian mill. This version features a yarn-dyed striped pattern that has been woven in, as opposed to printed on, for a more dimensional look. A Half Cardigan stitch creates vertical ribs for a textural look and feel.",96.6,Laura
https://us.brandymelville.com/products/skylar-floral-tank-13347,Brandy Mellville,"Skylar Floral Tank
","Fitted floral eyelet tank top with a scallop scoop neck.
Fabrics: 100% cotton
Measurement: 21"" (53 cm) length, 12"" (30 cm) bust
Made In: Italy

",20.0,megan
https://www.aritzia.com/us/en/product/peggy-sweater/103515.html?dwvar_103515_color=2175,Aritzia,peggy sweater,"The epitome of the Big Comfy Sweater. This is a crewneck sweater with dropped shoulders, ribbed trim and fully fashioned construction. It's made with Infiniti Wool — responsibly sourced extra-fine merino wool, recycled nylon and organic cotton yarn that’s naturally warm with an infinitely wearable, soft feel. This version is constructed using our Preppy Cable stitch in a unique repeated pattern for a three-dimensional look and texture.",128.0,Laura
https://www.aritzia.com/us/en/product/technique-poplin-dress/116063.html?dwvar_116063_color=1274,Aritzia,technique poplin dress,"This is a V-neck fit-and-flare dress with a smocked back and adjustable straps. It’s made from lightweight poplin with a smooth, airy feel and a touch of stretch for comfort.",168.0,Laura
https://lewkin.com/collections/all-tops/products/lace-trim-crop-tank-top-cj509,Lewkin,"Lace-Trim Crop Tank Top CJ509

","Style : Street
Detail : Lace
Print : Solid
Material : Cotton, Polyester, Spandex
Sleeve : Camisole
Length : Crop
Fit : Slim fit
Cotton 58% , Polyester 37% , Spandex 5%
Color : Gray, Black, Light blue, Light beige, Purple
Made in Korea
",40.0,megan
https://www.abercrombie.com/shop/us/p/high-rise-90s-relaxed-jean-57178819?categoryId=12203&faceout=model&seq=99,A&F,High Rise 90s Relaxed Jean,"Our classic relaxed jeans in a medium wash with a clean hem. This fit features a 10.5” high rise, is fitted at the waist and hips, and eases at the thigh into a relaxed, full-length leg shape. This jean is made from our vintage stretch fabric which features both an authentic vintage look and contains slight built-in stretch for additional comfort.",90.0,Laura
https://lewkin.com/products/juliana-washed-wide-leg-jeans-cj509,Lewkin,Juliana Washed Wide-Leg Jeans CJ509,"Style : Street, Casual
Occasion : Back to school
Print : Washed
Material : Cotton, Denim
Fit : Wide fit
Cotton 100%
Color : Blue
",48.0,megan
https://www.abercrombie.com/shop/us/p/essential-baby-tee-56537321?categoryId=12203&faceout=model&seq=18,A&F,Essential Baby Tee,"Slim-fitting short-sleeve tee in our softAF cotton-blend seamless fabric and cropped length, with crew neckline and straight hem.",25.0,Laura
https://www.whitehouseblackmarket.com/store/product/elbow-sleeve-mock-neck-sweater/570380516?inseam=regular&sizeType=regular&color=1358&catId=cat7029280&collectionId=category&queryId=323d925388889e5820f277deb2d41bd5&indexName=prod_whbm_products,White House Black Market,Elbow Sleeve Mock Neck Sweater,"Functional snap buttons on the left shoulder are an elevated design detail on this classic mock neck sweater. The elbow sleeve length is ideal for warmer climates or for wearing under a jacket.

 

Elbow sleeve
Mock neck
Snap button detail
Length: 24”
Petite length: 23”
60% rayon, 23% polyester, 17% nylon
Machine wash cold
Imported",79.0,vivian
https://www.abercrombie.com/shop/us/p/essential-tuckable-baby-tee-52230833?categoryId=6570723&faceout=model&seq=02&afsource=social+proofing,A&F,Essential Tuckable Baby Tee,"Slim-fitting short-sleeve tee in our softAF cotton seamless fabric and tuckable length, with crew neckline and straight hem. Our cotton seamless fabric is an ultra soft, brushed jersey fabric, that gives you a casual seamless look!",29.0,Laura
https://lewkin.com/collections/all-sale/products/sheer-bliss-off-shoulder-sweater-cl412,Lewkin,"Sheer Bliss Off Shoulder Sweater CL412

","Style : Street, Acubi, Grunge
Occasion : Back to school, Summer holiday
Type : Sweater
Detail : See-through
Print : Solid
Material : Polyester, Rayon
Sleeve : Long sleeve
Neck : Off shoulder
Fit : Loose fit
Polyester90 Rayon10
Color : Black, Gray, Stripe, Light beige
Made in Korea
",34.65,megan
https://www.abercrombie.com/shop/us/p/mid-rise-slouchy-jean-57374829?faceout=model&seq=01,A&F,Mid Rise Slouchy Jean,"Our new mid rise slouchy jeans in a medium wash with a clean hem. This fit features a 9.5” mid rise, is slouchy at the waist and hips, and eases through the thigh into a baggy, full-length leg shape. We recommend buying your true size for a slouchier fit. Size down for a closer fit. This jean is made from our heavyweight rigid denim, a super soft authentic cotton fabric with no stretch.",90.0,Laura
https://www.whitehouseblackmarket.com/store/product/v-neck-open-stitch-sequin-sweater/570380539?inseam=regular&sizeType=regular&color=6457&catId=cat7029280&collectionId=category&queryId=5774f7fad7494d66a01424a0da892550&indexName=prod_whbm_products,White House Black Market,V-Neck Open Stitch Sequin Sweater,"The open stitch design of this pullover is just one thing that makes it special. We’ve added sequins woven throughout for a subtle shimmer and designed the sleeves in a wider bell shape for added flair. This sweater also has ribbed details at the neckline, cuffs and hem.

 

Long sleeves
V-neck
Length: 22 1/2”
52% polyester, 40% acrylic, 8% lurex
Machine wash cold
Imported",99.0,vivian
https://www.abercrombie.com/shop/us/p/high-rise-vintage-flare-jean-57065843?faceout=model&seq=08,A&F,High Rise Vintage Flare Jean,"Our on-trend 70's-inspired vintage flare jeans in a medium wash with a clean hem. This fit features a 10.5” high rise, is fitted at the waist and hips, slightly relaxed at the thigh and eases at the knee into a relaxed, full-length flared leg shape. This jean is made from our vintage stretch fabric which features both an authentic vintage look and contains slight built-in stretch for additional comfort.",90.0,Laura
https://lewkin.com/collections/coquette-aesthetic/products/loose-fit-one-shoulder-sweater-if505,Lewkin,Loose-Fit One-Shoulder Sweater IF505,"Style : Casual, Romantic, Feminine
Occasion : Back to school
Type : Sweater
Print : Solid
Material : Polyester
Sleeve : Long sleeve
Neck : neck
Fit : Loose fit
Polyester 100%
Color : Light beige, Brown, Light blue, Gray
Made in Korea
",30.0,megan
https://www.abercrombie.com/shop/us/p/cable-knit-turtleneck-sweater-58399420?seq=01&prodvm=recommendations-CoBuy_PDP_Updated_Copy-63454,A&F,Cable Knit Turtleneck Sweater,"Easy-fitting sweater in our super soft sweater yarn fabric, featuring a rolled turtleneck detail, rib trims at the cuffs, neckline, and hem, and cable knit stitching throughout. Pairs perfect with your favorite pair of trousers!",54.0,Laura
https://lewkin.com/collections/coquette-aesthetic/products/classic-ruffle-flare-maxi-skirt-cj523,Lewkin,Classic Ruffle Flare Maxi Skirt CJ523,"Style : Street, Romantic
Occasion : Back to school
Detail : Ruffle, Flare, Banded
Print : Solid
Material : Polyester, Nylon
Length : Long
Polyester 70% , Nylon 30%
Color : Black, Light beige
Made in Korea
",35.0,megan
https://lewkin.com/collections/coquette-aesthetic/products/sweetheart-lace-up-mini-dress-cd426,Lewkin,Sweetheart Lace-Up Mini Dress CD426,"Style : Street, Acubi
Occasion : Party wear, Festival, Back to school
Detail : Lace up, Roll up, Lace
Print : Solid
Material : Cotton
Sleeve : Sleeveless
Neck : Sweetheart
Length : Mini
Cotton 100%
Color : Black, Light beige
Made in Korea
",113.0,megan
https://www.aritzia.com/us/en/product/leda-ponte-dress/123027.html?dwvar_123027_color=1274,Aritzia,leda ponte dress,This is a scoopneck fit-and-flare dress with princess seams for shaping. It’s made from ponte-knit fabric with the perfect amount of stretch for all-day comfort. This fabric is made from wood-based fibres sourced from responsibly managed forests.,46.99,Laura
https://www.aritzia.com/us/en/product/90s-slit-midi-dress/120293.html?dwvar_120293_color=1274,Aritzia,90s slit midi dress,This is a squareneck maxi dress with a darted waist and thigh slit. It's cut from drapey matte satin with a touch of stretch.,128.0,Laura
https://www.aritzia.com/us/en/product/madelyn-satin-dress/120025.html?dwvar_120025_color=1274,Aritzia,madelyn satin dress,This is a squareneck dress with adjustable straps and a back slit. It's cut from drapey satin with a smooth glossy feel and soft sheen.,37.99,Laura
https://www.nike.com/t/sportswear-phoenix-fleece-womens-oversized-crew-neck-sweatshirt-RGYQyzUz/DQ5733-699,Nike,Nike Sportswear Phoenix Fleece - Women's Oversized Crew-Neck Sweatshirt,"Grounded in style, comfort and versatility, meet our take on luxury loungewear. This classic sweatshirt helps you stay cozy all day long, thanks to its midweight fleece that feels soft yet structured. Plus, the taller ribbing and oversized fit give you a trend-right look.

Benefits
Our midweight brushed fleece feels extra soft on the inside and smooth on the outside, helping you stay cozy while keeping its structured shape.
Dropped shoulder seams and oversized fit provide a casual, relaxed look.
Product Details
Elongated ribbing
Embroidered Swoosh logo
Body: 80% cotton/20% polyester. Rib: 97% cotton/3% spandex.
Machine wash
Imported
Shown: Elemental Pink/Sail",70.0,vivian
https://www.aritzia.com/us/en/product/westend-denim-dress/118923.html?dwvar_118923_color=32512,Aritzia,westend denim dress,"This is a crewneck maxi dress with a centre back vent and princess seams for shaping. It's cut from body-hugging denim formulated with superior stretch and recovery for extra flexibility, body-shaping support and all-day comfort. This version comes in a dark blue wash.",73.99,Laura
https://www.whitehouseblackmarket.com/store/product/whbm-forme-ribbed-stretch-henley-top/570383680?inseam=regular&sizeType=regular&color=001&catId=cat210001&collectionId=category&queryId=1afabc597672d8a02109ff9cdad288b2&indexName=prod_whbm_products,White House Black Market,WHBM FORME™ Ribbed Stretch Henley Top,"A new addition to our WHBM FORME™ foundation tees is this ribbed stretch Henley. Designed with a classic five-button front placket, this Henley has pleated puff sleeves for added femininity. Our ribbed fabric stretches and smooths your body, offering a flattering silhouette.

 

Fitted
3/4 sleeves
Button neck
Length: 22 1/2”
97% pima cotton, 3% spandex
Machine wash cold, may be dry cleaned
Imported",59.0,vivian
https://www.aritzia.com/us/en/product/only-slip-satin-midi-dress/75717.html?dwvar_75717_color=1274,Aritzia,only slip satin midi dress,This is a V-neck slip dress with adjustable straps and a bias cut that follows the curves of the body. It's made from lightweight Japanese satin.,34.99,Laura
